Π中間子 	パイちゅうかんし	 pion (physics)
βカロチン 	ベタカロチン	 beta carotene
〃 	おなじく	 ditto mark onajiku 2  
〆 	しめ	 end or closure mark
〆切 	しめきり	 closing, end, deadline shimekiri 2  
〇 	かんすうじゼロ	 "kanji" zero
〇 	まる	 circle, zero maru 2  
〒 	ゆうびん	 mail, postal yuubin 2  
ああ 	嗚呼	 Ah!, Oh!, Alas!
あい 	愛	 love (vs) ai 2  
あいあいがさ 	相合傘	 share an umbrella
あいいく 	愛育	 tender nurture
あいいれない 	相容れない	 in conflict, out of harmony, running counter
あいいろ 	藍色	 indigo blue
あいいん 	愛飲	 usual drink aiin 2  
あいうち 	相撃ち	 simultaneously striking each other
あいえき 	愛液	 genital secretions, sexual fluids, semen, cum
あいえんか 	愛煙家	 heavy smoker, habitual smoker
あいおん 	哀音	 sad voices, sad sounds
あいか 	哀歌	 lament (song), elegy, dirge, sad song
あいかぎ 	合い鍵	 pass key, duplicate key, master key aikagi 2  
あいかた 	合い方	 accompaniment
あいかわらず 	相変わらず	 as ever, as usual, the same
あいかん 	哀感	 pathos aikan 2  
あいがん 	哀願	 supplication, appeal, entreaty, petition aigan 2  
あいき 	愛輝	 Aihui (city in North-Eastern China on the border of Russia)
あいきかい 	合気会	 aikido world association
あいきどう 	合気道	 aikido, way of harmony with the universe (MA) aikidou 2  
あいきどうか 	合気道家	 aikido practitioner
あいきょう 	愛郷	 love for one's hometown aikyou 2  
あいきょうげん 	間狂言	 comic interlude (in Noh)
あいきょうしん 	愛郷心	 love of one's hometown
あいきょうのある 	愛敬のある	 charming, attractive
あいぎ 	合着	 between-season wear
あいぎょう 	愛楽	 loving
あいぎん 	愛吟	 favourite poem or song, lover of poetry & song
あいくぎ 	合い釘	 double-pointed nail
あいくち 	合い口	 chum, pal aikuchi 2  
あいぐすり 	合い薬	 specific remedy
あいけん 	愛犬	 pet dog
あいけんか 	愛犬家	 lover of dogs
あいこ 	愛顧	 patronage, favour
あいこう 	愛好	 love (vs), adoration
あいこうか 	愛好家	 lover
あいこうしゃ 	愛好者	 enthusiast, fan, devotee, one who loves something
あいこく 	哀哭	 grief, mourning, lamentation aikoku 2  
あいこくしゃ 	愛国者	 patriot
あいこくしゅぎ 	愛国主義	 patriotism
あいこくしん 	愛国心	 patriotism
あいことば 	合い言葉	 password, watchword aikotoba 2  
あいご 	愛護	 protection, tender care
あいごう 	哀号	 moan, wailing
あいさい 	愛妻	 beloved wife
あいさつ 	挨拶	 greeting (vs), salutation
あいさつじょう 	挨拶状	 greeting card
あいさつまわり 	挨拶まわり	 New Year courtesy calls
あいし 	哀史	 sad story or history aishi 2  
あいしゃ 	愛車	 (one's) beloved car
あいしゅう 	哀愁	 pathos, sorrow, grief aishuu 2  
あいしょ 	愛書	 book lover
あいしょう 	哀傷	 sorrow, grief aishou 2  
あいしょうか 	愛唱歌	 (one's) favourite song
あいしょうきょく 	愛唱曲	 favourite song
あいじ 	愛児	 beloved child
あいじゃく 	愛着	 attachment, affection, love
あいじょう 	哀情	 sadness aijou 2  
あいじるし 	合い印	 comradeship badge aijirushi 2  
あいじん 	愛人	 lover, mistress
あいすべき 	愛すべき	 lovable
あいする 	愛する	 to love
あいず 	合図	 sign (vs), signal
あいずぬり 	会津塗	 Aizu lacquer ware
あいせき 	哀惜	 grief, sorrow aiseki 2  
あいせつ 	哀切	 pathetic (an)
あいぜんみょうおう 	愛染妙王	 Ragaraja, Buddhist deity of love
あいそ 	哀訴	 appeal, complaint aiso 2  
あいそう 	愛想	 civility, courtesy, sociability, compliments, civilities, graces
あいそく 	愛息	 (your) beloved son, cute boy
あいそのいい 	愛想のいい	 affable, amiable, sociable, agreeable
あいぞう 	愛憎	 likes & dislikes aizou 2  
あいぞうばん 	愛蔵版	 favourite printing (edition)
あいぞうへいそん 	愛憎併存	 ambivalence
あいたい 	相対	 confrontation (vs), facing, between ourselves, no third party, tete-a-tete
あいたいじに 	相対死	 double suicide
あいたいずくで 	相対尽で	 by mutual consent
あいたいたる 	靉靆たる	 trailing clouds
あいたいばいばい 	相対売買	 negotiated transaction
あいたしゅぎ 	愛他主義	 altruism
あいだ 	間	 space, interval
あいだがら 	間柄	 relation(ship)
あいだじゅう 	間中	 during
あいだにある 	間にある	 intervening
あいちけん 	愛知県	 prefecture in the Chuubu area
あいちゃく 	愛着	 attachment, covetous affection
あいちょう 	哀弔	 sympathetic condolences aichou 2  
あいつ 	彼奴	 he (col)(uk), she, that guy
あいついで 	相次いで	 one after the other, successively
あいつう 	哀痛	 sorrowing with the bereaved
あいつぐ 	相次ぐ	 to follow in succession
あいづち 	相槌	 sounds given during a conversation to indicate comprehension
あいづちをうつ 	相槌を打つ	 to make agreeable responses, to be a yes-man (id)
あいて 	相手	 companion, partner, company
あいているへや 	空いている部屋	 vacant room
あいてかた 	相手方	 other (opposite) party
あいてのめ 	相手の目	 the opponents territory
あいてをする 	相手をする	 to keep company
あいとう 	哀悼	 condolence, regret, sorrow, sympathy, lament
あいともなう 	相伴う	 to accompany
