嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
相	あい	together, mutually, fellow	【名】  相貌	[sound:SPXJ00021.mp3]
相変わらず	あいかわらず	as ever, as usual, the same	【連語】  【副】  照旧; 仍旧; 和往常一样	[sound:SPXJ00046.mp3]
愛想	あいそ	civility, courtesy, compliments, sociability, graces	【名】  会应酬; 会交际; 会说话; 和蔼可亲; 款待; 招待; (饭店)算账	[sound:SPXJ00132.mp3]
相対	あいたい	confrontation, facing, between ourselves, no third party, tete-a-tete	【名】  相对	[sound:SPXJ00143.mp3]
間柄	あいだがら	relation(ship)	【名】  关系; 来往关系; 交际; 交情	[sound:SPXJ00150.mp3]
愛憎	あいにく	likes and dislikes	【名】  爱憎；爱恶	[sound:SPXJ00135.mp3]
合間	あいま	interval	【名】  余暇; 空闲时间	[sound:SPXJ00210.mp3]
曖昧	あいまい	vague, ambiguous		[sound:SPXJ00212.mp3]
敢えて	あえて	dare (to do), challenge (to do)	【副】  敢; 硬; 勉强; 毫不; 并不; 未必; 不见得	[sound:SPXJ00258.mp3]
仰ぐ	あおぐ	to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take	【他五】  仰; 仰视; 尊敬; 推崇; 仰赖; 仰仗; 请; 求; 饮; 服	[sound:SPXJ00296.mp3]
垢	あか	dirt, filth	【名】  污垢; 油泥; 水锈; 水垢	[sound:SPXJ00391.mp3]
亜科	あか	suborder, subfamily		
銅	あかがね	copper	【名】  铜	[sound:SPXJ00390.mp3]
証	あかし	proof, evidence	【名】  证据; 证明书	[sound:SPXJ34603.mp3]
赤字	あかじ	deficit, go in the red	【名】  入不敷出; 亏空; 赤字; 红字; 校正的字	[sound:SPXJ00436.mp3]
明かす	あかす	to pass, spend, to reveal, to divulge	【他五】  说出; 揭露; 道破; 过夜; 证明	[sound:SPXJ00444.mp3]
赤ちゃん	あかちゃん	baby, infant	【名】  娃娃; 婴儿; 不懂世故的人	[sound:SPXJ00460.mp3]
明白	あからさま	obvious, overt, plainly, frankly	【名】  【形動】  明白; 明显; 明晰	[sound:SPXJ74522.mp3]
赤らむ	あからむ	to become red, to redden, to blush	【自五】  变红(同あかくなる)	[sound:SPXJ00528.mp3]
明るい	あかるい	bright, cheerful	【形】  明亮的; 明朗的; 快活的; 光明的; 熟悉的; 精通的	[sound:SPXJ00563.mp3]
上がり	あがり	1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after	【名】  上; 往上; 升级; 升进; 进步; 长进; 完成; 做的成绩; 上涨; 涨价; 收入; 收获; 终了; 结束; 满; 和	[sound:SPXJ00534.mp3]
上がる	あがる	to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,	【自五】  上; 登; 上学; 登陆; 升起; 飞扬; 提高; 长进; 高涨; 上升; 扬起; 抬起; 晋级; 加薪; 完; 了; 完成; 停; 住; 停止; 满; 和; 死; 枯死; 去; 到; 被找到; 被抓住; 生出; 收到; 取得; 怯场; 紧张; 发出; 炸熟; 炸好; 够用; 够开支; 供上; 开始作茧; 往北去; 上殿; 进宫  【他五】  吃; 喝; 吸  【接尾】  表示尊敬的意思; 表示该动作的完了	[sound:SPXJ00560.mp3]
商人	あきうど	trader, shopkeeper, merchant	【名】  商人; 买卖人	[sound:SPXJ35333.mp3]
空間	あきま	vacancy, room for rent or lease	【名】  空间	[sound:SPXJ20286.mp3]
諦め	あきらめ	resignation, acceptance, consolation	【名】  断念; 死心; 达观	[sound:SPXJ00648.mp3]
呆れる	あきれる	to be amazed, to be shocked	【自下一】  吃惊; 惊讶; 吓呆; 发愣; 愕然	[sound:SPXJ00657.mp3]
悪	あく	evil, wickedness	【名】  恶; 歹; 坏; 坏人; 反派角色	[sound:SPXJ00659.mp3]
灰	あく	puckery juice	【名】  灰	[sound:SPXJ58638.mp3]
あくどい	あくどい	1. gaudy, showy, excessive, 2. vicious	【形】  过于浓艳; 太腻; 太过火使人讨厌	[sound:SPXJ00741.mp3]
悪日	あくび	unlucky day	【名】  凶日; 倒霉的日子	[sound:SPXJ00758.mp3]
明くる	あくる	next, following	【連体】  下; 次; 翌; 第二	[sound:SPXJ00794.mp3]
憧れ	あこがれ	yearning, longing, aspiration	【名】  憧憬; 向往	[sound:SPXJ00898.mp3]
顎	あご	chin	【名】  下巴; 下颚; 钓鱼钩的倒须	[sound:SPXJ00892.mp3]
麻	あさ	flax, linen, hemp	【名】  麻; 大麻; 麻布; 夏布	[sound:SPXJ00908.mp3]
明後日	あさって	day after tomorrow	【名】  后日; 后天(同あさって)	[sound:SPXJ73413.mp3]
朝寝坊	あさねぼう	oversleeping, late riser	【名】  【自サ】  睡早觉; 起床晚	[sound:SPXJ00980.mp3]
浅ましい	あさましい	wretched, miserable, shameful, mean, despicable, abject	【形】  卑鄙; 下流; 可耻; 可怜; 凄惨	[sound:SPXJ00992.mp3]
字	あざ	section of village	【名】  字; 闾	[sound:SPXJ30055.mp3]
欺く	あざむく	to deceive	【他五】  欺; 骗; 好比; 胜似	[sound:SPXJ00996.mp3]
鮮やか	あざやか	vivid, clear, brilliant	【形動】  鲜明; 鲜艳; 漂亮; 巧妙; 熟练; 优美	[sound:SPXJ01001.mp3]
あざ笑う	あざわらう	to sneer at, to ridicule	【他五】  嘲笑	[sound:SPXJ01010.mp3]
味わい	あじわい	flavour, meaning, significance	【名】  味; 味道; 趣味; 妙处	[sound:SPXJ01128.mp3]
東	あずま	east, Eastern Japan	【名】  日本东部地方; 关东地方	[sound:SPXJ01175.mp3]
焦る	あせる	to be in a hurry, to be impatient	【自五】  焦躁; 急躁; 着急	[sound:SPXJ01231.mp3]
